Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1784365216,400,,Aggregated,63.100000,0.000000,2400,2600,2800,2900,4900,5700,7700,9400,13000,20000,20000,6330,1,2400,2429.164096954283,8.474664064124227,19739.490506937727,258.6173775671406
1784365217,400,,Aggregated,62.100000,0.000000,2400,2700,2800,2900,4900,5900,7800,9500,14000,20000,20000,6392,1,2400,2445.405159069137,8.474664064124227,19739.490506937727,259.91786608260327
1784365218,400,,Aggregated,63.800000,0.000000,2500,2700,2800,3000,5000,5900,7800,9500,14000,20000,20000,6452,1,2500,2457.1694344134485,8.474664064124227,19739.490506937727,260.2572845629262
1784365219,400,,Aggregated,62.300000,0.000000,2500,2700,2800,3000,5000,5900,7800,9500,14000,20000,20000,6521,1,2500,2469.3740504358084,8.474664064124227,19739.490506937727,259.8616776568011
1784365220,400,,Aggregated,63.400000,0.000000,2500,2700,2800,3000,5000,5900,7800,9500,14000,20000,20000,6577,1,2500,2476.660188523124,8.474664064124227,19739.490506937727,260.02645583092595
1784365221,400,,Aggregated,62.600000,0.000000,2500,2700,2800,3000,5100,5900,7800,9500,14000,20000,20000,6641,1,2500,2490.822295733002,8.474664064124227,19739.490506937727,261.92757114892333
1784365222,400,,Aggregated,62.500000,0.000000,2500,2700,2800,3000,5100,6000,7800,9500,14000,20000,20000,6693,1,2500,2502.661138836521,8.474664064124227,19739.490506937727,262.420738084566
1784365223,400,,Aggregated,62.000000,0.000000,2500,2700,2800,3000,5100,6100,7800,9900,14000,20000,20000,6759,1,2500,2517.393736913324,8.474664064124227,19739.490506937727,261.9467376830892
1784365224,400,,Aggregated,62.000000,0.000000,2500,2700,2800,3000,5100,6100,7800,9600,14000,20000,20000,6813,1,2500,2528.086744278666,8.474664064124227,19739.490506937727,262.08645237046824
1784365225,400,,Aggregated,61.600000,0.000000,2500,2700,2900,3000,5200,6100,7800,9600,14000,20000,20000,6876,1,2500,2537.7390528298315,8.474664064124227,19739.490506937727,262.75538103548575
1784365226,400,,Aggregated,61.200000,0.000000,2500,2700,2900,3000,5200,6400,7900,10000,14000,20000,20000,6927,1,2500,2548.5536678301833,8.474664064124227,19739.490506937727,263.9549588566479
1784365227,400,,Aggregated,60.500000,0.000000,2500,2800,2900,3100,5200,6400,7900,10000,14000,20000,20000,7006,1,2500,2565.147951085054,8.474664064124227,19739.490506937727,263.4122180987725
1784365228,400,,Aggregated,59.100000,0.000000,2500,2800,2900,3100,5200,6500,7900,10000,14000,20000,20000,7056,1,2500,2576.491375277825,8.474664064124227,19739.490506937727,263.59452947845807
1784365229,400,,Aggregated,59.800000,0.000000,2500,2800,2900,3200,5200,6600,7900,10000,15000,20000,20000,7127,1,2500,2591.271096048475,8.474664064124227,19739.490506937727,262.88999579065523
1784365230,400,,Aggregated,60.700000,0.000000,2500,2800,2900,3200,5200,6600,8000,10000,15000,20000,20000,7177,2,2500,2601.640007231894,8.474664064124227,19739.490506937727,264.63982165250104
1784365231,400,,Aggregated,59.900000,0.000000,2500,2800,2900,3200,5200,6600,8000,10000,15000,20000,20000,7239,2,2500,2607.5996516984105,8.474664064124227,19739.490506937727,265.25638900400605
1784365232,400,,Aggregated,60.200000,0.100000,2500,2800,2900,3200,5300,6600,8000,10000,15000,20000,20000,7295,2,2500,2619.6651777504353,8.474664064124227,19739.490506937727,265.29883481836873
